id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided context, which specifies a 15-minute initial response time and a 4-hour resolution time.",5,"The answer directly addresses the query by providing specific information about the SLA for P1 tickets, including both the initial response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation.",5,The answer directly addresses the user's query by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the time frame of 7 working days and the reference to the order confirmation.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access, which includes the necessary approvals from Line Manager, IT Admin, and IT Security as stated in the provided context.",5,The answer directly addresses the query by specifying the individuals who need to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifically mentioning the required approvals from Line Manager, IT Admin, and IT Security for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are generally non-refundable, but it inaccurately implies that they can be refunded if there is a manufacturer's defect without mentioning the specific conditions that must be met, such as the request being made within 7 days and the product not being used or unsealed.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, except in cases of manufacturer error, which provides a clear and relevant response to the user's question.",5,Retrieved: 1/1 expected sources,4,"The model answer addresses the refund policy for digital products and mentions exceptions for manufacturer errors, but it does not explicitly state that digital products are non-refundable as a general rule, nor does it specify the types of digital products (like license keys or subscriptions) as mentioned in the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 consecutive failed login attempts.,5,"The answer directly addresses the user's query by specifying that an account is locked after 5 consecutive failed login attempts, which is exactly what the user is asking about.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, providing the same information about the account being locked after 5 consecutive failed login attempts.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay. Quy trình xử lý sự cố P1 bao gồm các bước tiếp nhận, thông báo, triage và phân công, xử lý, và cuối cùng là viết incident report trong vòng 24 giờ sau khi khắc phục [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for incident P1 as described in the provided context, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes and the steps involved in handling the incident.",5,"The answer directly addresses the query about the escalation process in a P1 incident, providing specific details about the timing and steps involved.",5,Retrieved: 1/1 expected sources,4,"The model answer provides a detailed explanation of the escalation process for P1 incidents, including additional steps and context. However, it does not explicitly state that the ticket automatically escalates to a Senior Engineer if there is no response within 10 minutes, which is a key point in the expected answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately summarizes the key points from the provided chunks, including the purpose of the document, its applicability to all employees, contractors, and third-party vendors, and the mention of the approval matrix.",5,The answer directly addresses the query by explaining what the Approval Matrix is and its purpose in granting access rights within the company's internal systems.,5,Retrieved: 1/1 expected sources,2,The model answer provides a general description of the Approval Matrix but does not mention the specific name change to 'Access Control SOP' or the document reference (access-control-sop.md) as stated in the expected answer.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, specifically that employees can work remotely a maximum of 2 days per week after completing their probation period.",5,"The answer directly addresses the user's query by specifying the maximum number of remote work days allowed per week, which is 2 days, and provides additional context regarding the completion of the probation period.",5,Retrieved: 1/1 expected sources,4,"The model answer mentions the maximum number of remote days and the completion of the probation period, but it lacks the detail about the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến việc không có quyền truy cập. Cách xử lý có thể bao gồm việc tạo yêu cầu cấp quyền thông qua Jira và chờ phê duyệt từ Line Manager, sau đó IT Admin sẽ kiểm tra và cấp quyền nếu đủ điều kiện [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately reflects the process for handling access requests as outlined in the provided context, specifically mentioning the creation of a request in Jira and the subsequent approval and compliance checks.",5,"The answer directly addresses the query by explaining what ERR-403-AUTH is and provides a clear method for handling the error, which is exactly what the user is asking for.",,No expected sources,2,"The model answer provides a definition of the error and a method for handling it, but it does not mention the lack of information in existing documentation or the suggestion to contact IT Helpdesk, which are key points in the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information regarding an emergency refund process for VIP customers, which is not addressed in the provided context. The context only discusses the general refund process without mentioning any specific provisions for VIP customers.",2,"The answer acknowledges the lack of information regarding the specific process for urgent refunds for VIP customers, but it does not provide any relevant details or guidance related to the query.",5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of information regarding the process for VIP customers but does not provide any details about the standard refund process or the absence of a special procedure, which are key points in the expected answer.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided context, which specifies a 15-minute initial response time and a 4-hour resolution time.",5,"The answer directly addresses the query by providing specific information about the SLA for P1 tickets, including both the initial response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation.",5,The answer directly addresses the user's query by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the time frame of 7 working days and the reference to the order confirmation.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access, which states that approval is needed from the Line Manager, IT Admin, and IT Security.",5,"The answer directly addresses the query by specifying the individuals who must approve the granting of Level 3 access, which is exactly what the user is asking for.",5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifically mentioning the required approvals from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect and other conditions are met. However, it does not explicitly mention the 7-day requirement for requesting a refund, which is a key detail in the provided context.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, except in cases of manufacturer error, which provides a clear and relevant response to the user's question.",5,Retrieved: 1/1 expected sources,4,"The model answer addresses the refund policy for digital products and mentions exceptions for manufacturer errors, but it does not explicitly state that digital products are non-refundable as a general rule, which is a key point in the expected answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 consecutive failed login attempts.,5,"The answer directly addresses the user's query by specifying that an account is locked after 5 consecutive failed login attempts, which is exactly what the user is asking about.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, providing the same information regarding the account being locked after 5 consecutive failed login attempts.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Ngoài ra, trong trường hợp khẩn cấp, IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the retrieved chunks, including the automatic escalation to a Senior Engineer after 10 minutes of no response and the emergency procedure for granting temporary permissions by the IT Admin with Tech Lead approval.",5,The answer directly addresses the query about the escalation process in a P1 incident by providing specific details on the timing and procedures involved.,5,Retrieved: 1/1 expected sources,4,"The model answer includes additional details about emergency procedures and logging, which are not present in the expected answer. However, it does cover the key point about the ticket escalating to a Senior Engineer if there is no response within 10 minutes.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống không được đề cập cụ thể trong các tài liệu đã cung cấp. Tôi không biết.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The answer states that the Approval Matrix is not specifically mentioned in the provided documents, which is true. However, it does not acknowledge the detailed escalation process and the steps for access requests that are outlined in the chunks, which could imply an approval process.",2,"The answer acknowledges the query about the Approval Matrix but states that it is not specifically mentioned in the provided documents, which does not fully address the user's request for information.",5,Retrieved: 1/1 expected sources,1,"The model answer does not address the specific document name or its current name, which are key points in the expected answer.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the context regarding remote work conditions for employees after the probation period.,5,"The answer directly addresses the user's query by specifying the maximum number of remote work days allowed per week, which is exactly what the user is asking.",5,Retrieved: 1/1 expected sources,4,"The model answer includes the maximum number of remote days and the probation period, but it lacks the detail about the requirement for Team Lead approval.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu quyền truy cập phù hợp từ quản lý hoặc bộ phận IT. Tuy nhiên, thông tin chi tiết về cách xử lý cụ thể không có trong ngữ cảnh đã cung cấp.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"The answer correctly identifies that ERR-403-AUTH is related to access rights and suggests checking with management or IT for appropriate access. However, it lacks specific details from the provided context about the levels of access and approval processes.",4,"The answer provides a clear explanation of what ERR-403-AUTH is and suggests a way to handle it, but it lacks specific details on how to resolve the issue.",,No expected sources,3,"The model answer provides a general explanation of the ERR-403-AUTH error and suggests a way to handle it, but it does not explicitly mention that the error may relate to authentication or the need to contact IT Helpdesk, which are key points in the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer states that there is no specific information about the emergency refund process for VIP customers, which is not directly addressed in the provided context. However, the context does outline general refund conditions and escalation procedures, which could imply that there might be a process for VIP customers, but it is not explicitly mentioned.",2,"The answer acknowledges the lack of specific information regarding the emergency refund process for VIP customers, but it does not provide any relevant details or guidance related to the query.",5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of specific information but does not address the key point that the refund policy does not mention a special process for VIP customers, nor does it provide the standard timeline for refunds.",variant_hybrid_rerank
